date,google_trends,gt_norm,unemployment,sentiment,EHI,EHI_change_1m,EHI_change_3m
2023-10-01,8.2,0.37425071670575927,,,0.37425071670575927,,
2023-11-01,8.50625,0.393406307010685,,,0.393406307010685,0.01915559030492575,
2023-12-01,9.304166666666667,0.44331508991399493,,,0.44331508991399493,0.04990878290330991,
2024-01-01,12.550000000000002,0.6463382851185819,,,0.6463382851185819,0.203023195204587,0.09069585613760756
2024-02-01,14.425000000000002,0.7636174094344537,,,0.7636174094344537,0.11727912431587173,0.12340370080792289
2024-03-01,12.275000000000004,0.6291373468855874,,,0.6291373468855874,-0.13448006254886624,0.061940752323864166
2024-04-01,7.670833333333337,0.341151941621058,,,0.341151941621058,-0.2879854052645294,-0.10172878116584132
2024-05-01,4.25416666666667,0.1274433150899139,,,0.1274433150899139,-0.21370862653114409,-0.21205803144817992
2024-06-01,5.70416666666667,0.2181391712275214,,,0.2181391712275214,0.0906958561376075,-0.13699939188602203
2024-07-01,5.058333333333337,0.17774302840761005,,,0.17774302840761005,-0.04039614281991136,-0.05446963773781599
2024-08-01,4.51666666666667,0.143862392494136,,,0.143862392494136,-0.033880635913474066,0.00547302580140735
2024-09-01,2.2166666666666703,0.0,,,0.0,-0.143862392494136,-0.07271305707584048
2024-10-01,2.362500000000004,0.009121709669012256,,,0.009121709669012256,0.009121709669012256,-0.05620710624619927
2024-11-01,4.591666666666671,0.1485535574667709,,,0.1485535574667709,0.13943184779775863,0.0015637216575449624
2024-12-01,10.241666666666672,0.5019546520719311,,,0.5019546520719311,0.3534010946051602,0.16731821735731037
2025-01-01,14.700000000000005,0.7808183476674483,,,0.7808183476674483,0.27886369559551716,0.2572322126661453
2025-02-01,16.61666666666667,0.900703674745895,,,0.900703674745895,0.11988532707844668,0.250716705759708
2025-03-01,15.266666666666673,0.8162627052384674,,,0.8162627052384674,-0.08444096950742752,0.1047693510555121
2025-04-01,12.370833333333339,0.63513161323951,,,0.63513161323951,-0.1811310919989575,-0.04856224480931278
2025-05-01,7.954166666666673,0.35887412040656763,,,0.35887412040656763,-0.2762574928329423,-0.18060985144644245
2025-06-01,6.037500000000008,0.2389887933281211,,,0.2389887933281211,-0.11988532707844654,-0.1924246373034488
2025-07-01,7.620833333333341,0.3380244983059683,,,0.3380244983059683,0.09903570497784722,-0.09903570497784724
2025-08-01,18.204166666666676,1.0,5.0,80.0,1.0,0.6619755016940316,0.21370862653114409
